age,parrot_name,number_of_words
34,Eclectus,43
45,Rose-ringed parakeet,80
21,Budgerigar,49
37,Rose-ringed parakeet,64
45,Rose-ringed parakeet,54
8,Rose-ringed parakeet,5
13,Rose-ringed parakeet,20
12,Rose-ringed parakeet,12
18,Eclectus,21
44,Rose-ringed parakeet,79
45,Budgerigar,69
24,Rose-ringed parakeet,22
30,Eclectus,59
39,Eclectus,63
58,Rose-ringed parakeet,96
50,Eclectus,84
28,Rose-ringed parakeet,58
26,Budgerigar,38
44,Budgerigar,75
4,Eclectus,2
50,Budgerigar,69
51,Rose-ringed parakeet,84
28,Rose-ringed parakeet,39
41,Rose-ringed parakeet,64
16,Budgerigar,24
35,Eclectus,70
23,Budgerigar,27
9,Budgerigar,17
40,Rose-ringed parakeet,40
59,Budgerigar,77
15,Eclectus,13
59,Rose-ringed parakeet,93
7,Budgerigar,16
46,Budgerigar,88
40,Rose-ringed parakeet,52
60,Budgerigar,84
27,Eclectus,43
41,Eclectus,78
22,Rose-ringed parakeet,37
23,Eclectus,31
10,Budgerigar,15
31,Eclectus,49
55,Budgerigar,66
20,Eclectus,35
52,Rose-ringed parakeet,83
35,Rose-ringed parakeet,44
9,Rose-ringed parakeet,6
52,Eclectus,63
1,Budgerigar,16
39,Eclectus,58
7,Rose-ringed parakeet,8
32,Eclectus,45
42,Eclectus,76
24,Rose-ringed parakeet,33
17,Budgerigar,26
40,Budgerigar,47
41,Eclectus,51
1,Rose-ringed parakeet,2
56,Budgerigar,85
14,Budgerigar,11
44,Eclectus,65
28,Rose-ringed parakeet,41
27,Eclectus,52
17,Eclectus,37
5,Budgerigar,19
6,Eclectus,6
27,Rose-ringed parakeet,45
28,Rose-ringed parakeet,58
40,Eclectus,55
46,Budgerigar,79
43,Rose-ringed parakeet,64
54,Rose-ringed parakeet,66
40,Rose-ringed parakeet,59
39,Budgerigar,49
54,Eclectus,62
50,Rose-ringed parakeet,64
7,Budgerigar,20
40,Budgerigar,51
36,Budgerigar,61
52,Budgerigar,84
33,Budgerigar,64
3,Budgerigar,15
19,Eclectus,24
44,Rose-ringed parakeet,74
55,Rose-ringed parakeet,79
26,Rose-ringed parakeet,32
25,Budgerigar,34
14,Eclectus,17
44,Budgerigar,52
42,Eclectus,68
12,Budgerigar,15
5,Budgerigar,3
17,Budgerigar,34
47,Rose-ringed parakeet,86
17,Eclectus,35
31,Budgerigar,65
41,Budgerigar,61
24,Budgerigar,23
34,Budgerigar,46
53,Budgerigar,73
48,Eclectus,63
53,Eclectus,65
54,Rose-ringed parakeet,84
31,Eclectus,48
59,Rose-ringed parakeet,90
20,Rose-ringed parakeet,12
24,Budgerigar,24
18,Budgerigar,22
29,Budgerigar,50
41,Rose-ringed parakeet,79
60,Budgerigar,92
14,Rose-ringed parakeet,19
22,Budgerigar,48
15,Eclectus,28
47,Rose-ringed parakeet,67
58,Rose-ringed parakeet,79
21,Budgerigar,32
42,Eclectus,77
13,Budgerigar,23
46,Rose-ringed parakeet,74
44,Rose-ringed parakeet,63
52,Rose-ringed parakeet,70
15,Rose-ringed parakeet,11
38,Eclectus,54
46,Rose-ringed parakeet,70
27,Eclectus,48
51,Eclectus,74
28,Budgerigar,34
55,Rose-ringed parakeet,83
35,Eclectus,56
37,Budgerigar,61
47,Rose-ringed parakeet,63
22,Eclectus,28
7,Eclectus,6
7,Budgerigar,8
33,Eclectus,46
52,Budgerigar,62
47,Eclectus,79
60,Budgerigar,82
1,Rose-ringed parakeet,20
22,Budgerigar,34
53,Eclectus,86
57,Budgerigar,87
33,Eclectus,67
56,Budgerigar,86
49,Rose-ringed parakeet,62
44,Budgerigar,51
19,Budgerigar,23
15,Rose-ringed parakeet,28
38,Budgerigar,62
24,Rose-ringed parakeet,36
35,Rose-ringed parakeet,55
57,Budgerigar,88
16,Eclectus,39
34,Budgerigar,66
34,Rose-ringed parakeet,55
48,Rose-ringed parakeet,89
31,Budgerigar,67
4,Rose-ringed parakeet,9
8,Rose-ringed parakeet,13
2,Rose-ringed parakeet,13
41,Eclectus,55
59,Rose-ringed parakeet,78
15,Budgerigar,18
53,Eclectus,62
20,Eclectus,19
1,Budgerigar,13
14,Eclectus,23
28,Budgerigar,43
54,Eclectus,88
12,Eclectus,15
53,Budgerigar,81
40,Eclectus,53
35,Eclectus,54
10,Eclectus,4
20,Eclectus,17
2,Budgerigar,15
42,Rose-ringed parakeet,53
36,Eclectus,45
5,Rose-ringed parakeet,13
59,Rose-ringed parakeet,71
45,Eclectus,54
23,Budgerigar,22
59,Budgerigar,81
58,Eclectus,90
57,Rose-ringed parakeet,100
9,Eclectus,4
24,Rose-ringed parakeet,23
48,Budgerigar,77
8,Rose-ringed parakeet,2
55,Eclectus,76
49,Rose-ringed parakeet,61
7,Rose-ringed parakeet,7
13,Rose-ringed parakeet,28
59,Budgerigar,96
58,Eclectus,84
19,Rose-ringed parakeet,32
13,Rose-ringed parakeet,23
39,Budgerigar,56
45,Eclectus,56
53,Eclectus,73
49,Eclectus,88
2,Eclectus,16
23,Rose-ringed parakeet,38
60,Eclectus,93
25,Eclectus,46
36,Budgerigar,56
5,Eclectus,10
32,Rose-ringed parakeet,57
34,Rose-ringed parakeet,59
52,Budgerigar,78
1,Eclectus,3
47,Rose-ringed parakeet,69
55,Rose-ringed parakeet,66
44,Rose-ringed parakeet,64
58,Eclectus,76
56,Budgerigar,73
27,Rose-ringed parakeet,40
56,Eclectus,92
17,Rose-ringed parakeet,25
54,Eclectus,90
53,Rose-ringed parakeet,71
13,Rose-ringed parakeet,23
25,Rose-ringed parakeet,37
26,Budgerigar,47
3,Rose-ringed parakeet,13
6,Eclectus,1
31,Budgerigar,42
53,Budgerigar,82
22,Eclectus,22
26,Rose-ringed parakeet,44
58,Rose-ringed parakeet,75
50,Eclectus,67
29,Eclectus,48
47,Budgerigar,81
60,Eclectus,92
39,Eclectus,44
43,Rose-ringed parakeet,74
16,Eclectus,34
54,Eclectus,80
41,Budgerigar,50
44,Rose-ringed parakeet,78
59,Budgerigar,73
3,Eclectus,11
3,Rose-ringed parakeet,19
17,Budgerigar,20
20,Budgerigar,36
27,Budgerigar,55
5,Rose-ringed parakeet,11
36,Rose-ringed parakeet,61
58,Eclectus,100
44,Budgerigar,61
57,Eclectus,71
29,Eclectus,35
59,Rose-ringed parakeet,87
10,Eclectus,8
7,Eclectus,4
19,Budgerigar,35
33,Rose-ringed parakeet,50
21,Budgerigar,35
57,Rose-ringed parakeet,97
3,Rose-ringed parakeet,10
13,Budgerigar,30
17,Budgerigar,32
52,Eclectus,72
58,Budgerigar,97
15,Budgerigar,11
10,Rose-ringed parakeet,14
29,Budgerigar,45
2,Budgerigar,3
13,Eclectus,19
5,Rose-ringed parakeet,11
42,Budgerigar,78
36,Rose-ringed parakeet,58
22,Rose-ringed parakeet,48
33,Budgerigar,41
7,Rose-ringed parakeet,3
22,Budgerigar,41
57,Eclectus,75
25,Rose-ringed parakeet,29
25,Rose-ringed parakeet,39
7,Eclectus,4
50,Rose-ringed parakeet,61
7,Eclectus,8
19,Rose-ringed parakeet,37
38,Budgerigar,47
40,Budgerigar,52
49,Eclectus,68
1,Rose-ringed parakeet,18
13,Eclectus,16
49,Budgerigar,68
38,Rose-ringed parakeet,45
9,Budgerigar,11
53,Eclectus,74
55,Budgerigar,86
4,Eclectus,13
50,Budgerigar,75
41,Rose-ringed parakeet,61
57,Rose-ringed parakeet,91
3,Rose-ringed parakeet,12
40,Eclectus,49
52,Budgerigar,86
5,Budgerigar,16
29,Rose-ringed parakeet,50
3,Rose-ringed parakeet,12
21,Budgerigar,47
32,Rose-ringed parakeet,51
49,Eclectus,79
47,Rose-ringed parakeet,65
35,Eclectus,62
11,Rose-ringed parakeet,23
6,Budgerigar,18
12,Budgerigar,20
1,Budgerigar,17
36,Eclectus,60
36,Rose-ringed parakeet,51
20,Budgerigar,30
28,Rose-ringed parakeet,43
33,Rose-ringed parakeet,41
24,Rose-ringed parakeet,44
19,Eclectus,33
31,Budgerigar,63
3,Rose-ringed parakeet,2
43,Eclectus,76
52,Eclectus,87
14,Rose-ringed parakeet,21
47,Eclectus,74
20,Eclectus,11
36,Rose-ringed parakeet,64
51,Budgerigar,64
30,Rose-ringed parakeet,55
42,Budgerigar,56
12,Eclectus,21
10,Budgerigar,3
49,Budgerigar,81
42,Rose-ringed parakeet,57
36,Budgerigar,43
27,Eclectus,49
23,Budgerigar,45
10,Eclectus,8
35,Rose-ringed parakeet,70
37,Rose-ringed parakeet,41
40,Eclectus,58
60,Rose-ringed parakeet,95
19,Eclectus,15
44,Budgerigar,80
36,Eclectus,67
8,Budgerigar,12
57,Rose-ringed parakeet,83
1,Rose-ringed parakeet,5
23,Eclectus,33
32,Eclectus,44
42,Rose-ringed parakeet,57
55,Eclectus,83
60,Eclectus,89
4,Budgerigar,2
23,Budgerigar,37
10,Budgerigar,18
46,Rose-ringed parakeet,81
39,Eclectus,56
58,Eclectus,94
22,Eclectus,31
53,Budgerigar,74
55,Budgerigar,88
47,Eclectus,61
21,Rose-ringed parakeet,27
19,Rose-ringed parakeet,20
6,Rose-ringed parakeet,16
59,Budgerigar,92
44,Rose-ringed parakeet,72
52,Rose-ringed parakeet,78
60,Budgerigar,79
53,Eclectus,73
23,Eclectus,49
30,Eclectus,57
47,Budgerigar,68
52,Rose-ringed parakeet,66
45,Rose-ringed parakeet,78
17,Rose-ringed parakeet,33
50,Budgerigar,71
42,Eclectus,68
28,Rose-ringed parakeet,38
44,Budgerigar,70
54,Eclectus,63
54,Rose-ringed parakeet,71
33,Rose-ringed parakeet,62
2,Eclectus,7
36,Rose-ringed parakeet,66
25,Eclectus,45
35,Budgerigar,51
20,Rose-ringed parakeet,30
3,Eclectus,12
22,Eclectus,27
39,Budgerigar,47
31,Budgerigar,68
47,Eclectus,85
23,Rose-ringed parakeet,47
27,Budgerigar,52
55,Budgerigar,82
30,Eclectus,33
39,Budgerigar,46
27,Rose-ringed parakeet,54
1,Eclectus,12
42,Eclectus,57
12,Rose-ringed parakeet,19
27,Rose-ringed parakeet,36
16,Eclectus,19
14,Rose-ringed parakeet,13
34,Budgerigar,50
40,Eclectus,60
48,Budgerigar,63
42,Budgerigar,59
7,Eclectus,13
58,Budgerigar,95
32,Eclectus,68
56,Budgerigar,77
23,Budgerigar,42
19,Budgerigar,30
4,Rose-ringed parakeet,12
58,Eclectus,76
4,Eclectus,16
41,Eclectus,75
56,Budgerigar,91
38,Budgerigar,69
57,Rose-ringed parakeet,71
50,Rose-ringed parakeet,72
43,Eclectus,51
60,Budgerigar,95
2,Eclectus,3
17,Eclectus,24
37,Budgerigar,56
11,Rose-ringed parakeet,19
26,Eclectus,38
44,Eclectus,74
9,Budgerigar,3
35,Rose-ringed parakeet,44
38,Rose-ringed parakeet,50
8,Rose-ringed parakeet,4
18,Budgerigar,31
20,Budgerigar,25
35,Eclectus,70
23,Rose-ringed parakeet,25
31,Eclectus,57
55,Rose-ringed parakeet,65
37,Budgerigar,40
49,Budgerigar,81
47,Rose-ringed parakeet,61
51,Budgerigar,75
9,Budgerigar,0
4,Rose-ringed parakeet,15
28,Rose-ringed parakeet,41
4,Budgerigar,5
19,Rose-ringed parakeet,40
52,Budgerigar,62
44,Budgerigar,77
36,Budgerigar,65
42,Rose-ringed parakeet,72
13,Eclectus,30
38,Budgerigar,41
24,Budgerigar,45
10,Budgerigar,1
18,Budgerigar,25
20,Budgerigar,36
12,Rose-ringed parakeet,27
1,Rose-ringed parakeet,13
35,Rose-ringed parakeet,50
14,Rose-ringed parakeet,29
27,Rose-ringed parakeet,52
13,Budgerigar,14
9,Eclectus,10
12,Budgerigar,19
52,Eclectus,79
13,Eclectus,26
39,Eclectus,44
42,Budgerigar,70
8,Rose-ringed parakeet,3
42,Eclectus,69
58,Eclectus,77
44,Eclectus,53
14,Eclectus,14
49,Eclectus,86
9,Rose-ringed parakeet,5
4,Budgerigar,3
12,Rose-ringed parakeet,17
60,Budgerigar,85
29,Budgerigar,53
60,Budgerigar,78
8,Eclectus,1
38,Budgerigar,47
60,Rose-ringed parakeet,75
2,Rose-ringed parakeet,20
34,Budgerigar,58
32,Budgerigar,43
36,Rose-ringed parakeet,62
46,Rose-ringed parakeet,87
15,Rose-ringed parakeet,10
9,Budgerigar,9
56,Rose-ringed parakeet,92
15,Budgerigar,27
34,Rose-ringed parakeet,50
22,Rose-ringed parakeet,49
22,Eclectus,35
15,Budgerigar,22
8,Eclectus,5
29,Rose-ringed parakeet,46
7,Rose-ringed parakeet,5
8,Rose-ringed parakeet,16
32,Eclectus,64
47,Rose-ringed parakeet,62
38,Budgerigar,40
13,Budgerigar,29
26,Budgerigar,48
20,Budgerigar,18
45,Eclectus,73
47,Eclectus,84
38,Rose-ringed parakeet,56
56,Eclectus,92
19,Eclectus,10
52,Budgerigar,78
15,Rose-ringed parakeet,15
31,Eclectus,49
39,Eclectus,62
36,Eclectus,44
23,Budgerigar,36
54,Rose-ringed parakeet,66
32,Budgerigar,59
1,Eclectus,11
12,Eclectus,14
34,Eclectus,43
53,Eclectus,72
55,Rose-ringed parakeet,62
13,Rose-ringed parakeet,22
59,Budgerigar,74
25,Eclectus,38
47,Eclectus,67
2,Rose-ringed parakeet,3
10,Rose-ringed parakeet,1
14,Rose-ringed parakeet,15
26,Budgerigar,37
13,Rose-ringed parakeet,15
1,Budgerigar,6
9,Budgerigar,19
32,Rose-ringed parakeet,44
22,Rose-ringed parakeet,23
46,Budgerigar,80
37,Rose-ringed parakeet,52
30,Budgerigar,45
17,Eclectus,35
30,Budgerigar,46
12,Budgerigar,27
47,Rose-ringed parakeet,77
36,Rose-ringed parakeet,47
59,Budgerigar,84
50,Budgerigar,81
53,Eclectus,61
41,Eclectus,72
30,Rose-ringed parakeet,38
50,Rose-ringed parakeet,61
11,Eclectus,21
41,Budgerigar,65
13,Eclectus,23
58,Budgerigar,80
24,Budgerigar,41
51,Rose-ringed parakeet,65
23,Eclectus,49
35,Budgerigar,58
11,Eclectus,24
33,Rose-ringed parakeet,42
32,Rose-ringed parakeet,51
50,Eclectus,63
30,Eclectus,46
24,Budgerigar,22
1,Rose-ringed parakeet,7
28,Eclectus,34
26,Eclectus,33
14,Budgerigar,22
41,Budgerigar,64
16,Budgerigar,20
50,Rose-ringed parakeet,88
33,Eclectus,61
60,Budgerigar,86
58,Eclectus,92
27,Budgerigar,58
49,Eclectus,62
57,Rose-ringed parakeet,76
20,Eclectus,37
22,Eclectus,34
30,Rose-ringed parakeet,34
10,Budgerigar,10
55,Eclectus,84
39,Rose-ringed parakeet,41
22,Eclectus,43
48,Budgerigar,90
53,Budgerigar,72
14,Rose-ringed parakeet,25
41,Eclectus,75
29,Rose-ringed parakeet,47
32,Rose-ringed parakeet,43
47,Rose-ringed parakeet,61
37,Rose-ringed parakeet,52
24,Eclectus,34
33,Eclectus,60
1,Rose-ringed parakeet,4
22,Eclectus,21
2,Budgerigar,15
26,Eclectus,58
16,Rose-ringed parakeet,13
50,Rose-ringed parakeet,69
41,Eclectus,56
23,Eclectus,25
54,Eclectus,77
30,Budgerigar,43
3,Eclectus,16
53,Budgerigar,75
31,Rose-ringed parakeet,55
29,Budgerigar,54
33,Eclectus,51
21,Budgerigar,42
8,Rose-ringed parakeet,1
47,Eclectus,71
45,Eclectus,55
31,Budgerigar,63
11,Budgerigar,17
56,Budgerigar,82
24,Rose-ringed parakeet,34
11,Budgerigar,20
44,Budgerigar,54
37,Eclectus,64
47,Eclectus,68
14,Eclectus,20
7,Eclectus,14
46,Rose-ringed parakeet,74
5,Rose-ringed parakeet,19
5,Budgerigar,4
23,Budgerigar,25
28,Eclectus,45
3,Budgerigar,18
45,Eclectus,64
57,Rose-ringed parakeet,88
27,Budgerigar,40
30,Rose-ringed parakeet,30
10,Budgerigar,19
38,Eclectus,51
9,Eclectus,18
15,Eclectus,26
24,Eclectus,28
7,Budgerigar,3
40,Eclectus,52
16,Rose-ringed parakeet,29
15,Budgerigar,14
28,Rose-ringed parakeet,49
41,Budgerigar,57
6,Eclectus,4
13,Budgerigar,11
58,Eclectus,76
32,Rose-ringed parakeet,55
25,Eclectus,23
8,Rose-ringed parakeet,4
27,Budgerigar,50
7,Eclectus,3
40,Rose-ringed parakeet,59
49,Budgerigar,70
28,Rose-ringed parakeet,31
29,Budgerigar,47
47,Eclectus,79
44,Rose-ringed parakeet,55
17,Rose-ringed parakeet,22
3,Eclectus,7
17,Eclectus,12
10,Budgerigar,17
41,Budgerigar,54
42,Budgerigar,53
15,Budgerigar,26
34,Budgerigar,66
53,Rose-ringed parakeet,66
54,Rose-ringed parakeet,63
8,Rose-ringed parakeet,3
52,Eclectus,83
10,Budgerigar,11
23,Eclectus,41
40,Eclectus,58
55,Rose-ringed parakeet,73
48,Rose-ringed parakeet,63
28,Budgerigar,45
39,Eclectus,65
54,Budgerigar,65
9,Budgerigar,4
52,Budgerigar,79
6,Budgerigar,1
17,Eclectus,13
38,Budgerigar,45
49,Budgerigar,67
27,Rose-ringed parakeet,52
42,Eclectus,70
53,Budgerigar,72
41,Rose-ringed parakeet,76
22,Rose-ringed parakeet,37
22,Rose-ringed parakeet,50
14,Eclectus,22
30,Budgerigar,57
28,Eclectus,39
32,Budgerigar,42
46,Eclectus,63
60,Rose-ringed parakeet,82
45,Rose-ringed parakeet,78
2,Rose-ringed parakeet,6
34,Rose-ringed parakeet,58
8,Budgerigar,17
19,Rose-ringed parakeet,33
58,Rose-ringed parakeet,79
37,Eclectus,52
52,Eclectus,84
41,Rose-ringed parakeet,66
8,Rose-ringed parakeet,7
9,Rose-ringed parakeet,12
8,Eclectus,7
56,Rose-ringed parakeet,88
5,Eclectus,1
11,Rose-ringed parakeet,23
15,Eclectus,19
56,Budgerigar,100
39,Rose-ringed parakeet,49
29,Rose-ringed parakeet,53
35,Eclectus,54
49,Rose-ringed parakeet,64
21,Budgerigar,40
47,Rose-ringed parakeet,71
39,Budgerigar,62
36,Eclectus,63
52,Budgerigar,90
4,Rose-ringed parakeet,2
16,Rose-ringed parakeet,35
12,Rose-ringed parakeet,10
7,Rose-ringed parakeet,5
18,Budgerigar,34
27,Rose-ringed parakeet,30
54,Budgerigar,79
12,Budgerigar,18
11,Eclectus,10
22,Eclectus,35
48,Rose-ringed parakeet,76
39,Eclectus,60
21,Budgerigar,49
26,Eclectus,39
22,Budgerigar,45
21,Budgerigar,41
52,Rose-ringed parakeet,60
19,Eclectus,10
44,Rose-ringed parakeet,78
12,Rose-ringed parakeet,20
18,Rose-ringed parakeet,13
43,Budgerigar,54
20,Eclectus,21
39,Budgerigar,52
3,Budgerigar,19
9,Eclectus,3
50,Eclectus,71
56,Rose-ringed parakeet,71
20,Budgerigar,23
41,Budgerigar,53
33,Rose-ringed parakeet,48
50,Rose-ringed parakeet,76
44,Eclectus,71
28,Budgerigar,38
20,Budgerigar,38
49,Rose-ringed parakeet,60
31,Budgerigar,63
59,Budgerigar,99
51,Rose-ringed parakeet,86
32,Rose-ringed parakeet,40
21,Eclectus,29
32,Eclectus,45
36,Rose-ringed parakeet,52
41,Rose-ringed parakeet,53
55,Eclectus,70
48,Budgerigar,67
14,Rose-ringed parakeet,27
1,Eclectus,5
34,Rose-ringed parakeet,62
36,Budgerigar,51
2,Rose-ringed parakeet,5
18,Rose-ringed parakeet,32
8,Rose-ringed parakeet,14
49,Eclectus,65
23,Budgerigar,24
16,Budgerigar,37
15,Rose-ringed parakeet,11
55,Eclectus,60
47,Budgerigar,60
52,Rose-ringed parakeet,82
26,Rose-ringed parakeet,35
37,Rose-ringed parakeet,68
39,Eclectus,45
15,Rose-ringed parakeet,25
37,Eclectus,49
18,Rose-ringed parakeet,18
51,Eclectus,83
23,Budgerigar,34
18,Budgerigar,13
3,Budgerigar,4
6,Eclectus,13
49,Eclectus,85
51,Budgerigar,66
31,Rose-ringed parakeet,50
33,Eclectus,61
31,Eclectus,64
27,Eclectus,41
17,Rose-ringed parakeet,31
5,Eclectus,18
38,Budgerigar,66
4,Budgerigar,8
30,Budgerigar,34
4,Budgerigar,5
39,Rose-ringed parakeet,51
36,Budgerigar,46
3,Rose-ringed parakeet,4
53,Rose-ringed parakeet,79
34,Eclectus,62
11,Budgerigar,12
7,Rose-ringed parakeet,1
24,Budgerigar,33
15,Budgerigar,18
58,Eclectus,96
12,Rose-ringed parakeet,28
29,Budgerigar,32
34,Eclectus,50
34,Budgerigar,43
19,Budgerigar,12
4,Budgerigar,13
31,Rose-ringed parakeet,67
10,Eclectus,18
20,Rose-ringed parakeet,27
34,Rose-ringed parakeet,52
24,Budgerigar,20
6,Budgerigar,3
14,Rose-ringed parakeet,10
6,Rose-ringed parakeet,16
23,Rose-ringed parakeet,36
20,Eclectus,15
3,Rose-ringed parakeet,14
47,Eclectus,62
46,Rose-ringed parakeet,71
53,Eclectus,79
27,Rose-ringed parakeet,54
20,Eclectus,23
56,Rose-ringed parakeet,98
6,Rose-ringed parakeet,11
6,Eclectus,20
2,Budgerigar,9
45,Eclectus,58
29,Rose-ringed parakeet,36
15,Rose-ringed parakeet,28
14,Budgerigar,17
32,Eclectus,59
57,Rose-ringed parakeet,100
49,Budgerigar,89
35,Budgerigar,46
55,Eclectus,85
34,Eclectus,65
7,Budgerigar,5
52,Budgerigar,72
18,Rose-ringed parakeet,27
51,Rose-ringed parakeet,64
51,Budgerigar,65
37,Rose-ringed parakeet,41
50,Eclectus,74
19,Eclectus,33
11,Rose-ringed parakeet,13
54,Budgerigar,86
14,Budgerigar,10
28,Eclectus,31
11,Budgerigar,19
48,Eclectus,85
31,Rose-ringed parakeet,63
49,Eclectus,69
19,Eclectus,26
8,Budgerigar,1
29,Eclectus,47
32,Rose-ringed parakeet,61
25,Eclectus,32
4,Rose-ringed parakeet,11
24,Eclectus,29
6,Eclectus,18
40,Eclectus,48
28,Budgerigar,44
38,Rose-ringed parakeet,41
29,Eclectus,51
8,Budgerigar,17
35,Rose-ringed parakeet,43
20,Rose-ringed parakeet,11
27,Budgerigar,44
14,Eclectus,19
12,Budgerigar,11
8,Rose-ringed parakeet,0
4,Budgerigar,20
6,Budgerigar,3
48,Rose-ringed parakeet,67
5,Budgerigar,18
4,Budgerigar,10
45,Rose-ringed parakeet,62
8,Eclectus,6
31,Eclectus,70
18,Rose-ringed parakeet,34
49,Budgerigar,75
25,Eclectus,47
56,Eclectus,94
8,Budgerigar,0
17,Budgerigar,12
57,Rose-ringed parakeet,75
56,Budgerigar,85
48,Budgerigar,76
45,Budgerigar,58
33,Eclectus,61
36,Rose-ringed parakeet,55
59,Budgerigar,91
55,Budgerigar,80
40,Budgerigar,55
4,Budgerigar,7
29,Budgerigar,52
45,Budgerigar,50
43,Budgerigar,75
23,Eclectus,39
39,Rose-ringed parakeet,42
52,Eclectus,74
50,Budgerigar,83
54,Budgerigar,79
14,Budgerigar,23
43,Eclectus,68
47,Budgerigar,84
43,Rose-ringed parakeet,78
1,Rose-ringed parakeet,9
25,Rose-ringed parakeet,44
33,Rose-ringed parakeet,68
27,Rose-ringed parakeet,50
25,Rose-ringed parakeet,21
4,Budgerigar,8
59,Budgerigar,73
9,Budgerigar,20
33,Eclectus,70
49,Eclectus,76
14,Eclectus,23
10,Rose-ringed parakeet,19
26,Rose-ringed parakeet,38
57,Eclectus,74
39,Rose-ringed parakeet,42
48,Rose-ringed parakeet,77
19,Rose-ringed parakeet,21
59,Budgerigar,73
10,Eclectus,0
3,Rose-ringed parakeet,11
51,Rose-ringed parakeet,65
18,Eclectus,13
37,Eclectus,55
4,Rose-ringed parakeet,4
4,Eclectus,5
45,Eclectus,69
5,Budgerigar,18
13,Rose-ringed parakeet,30
31,Rose-ringed parakeet,56
57,Budgerigar,77
6,Budgerigar,4
57,Rose-ringed parakeet,93
45,Eclectus,53
50,Rose-ringed parakeet,89
32,Rose-ringed parakeet,44
19,Budgerigar,40
20,Budgerigar,15
13,Eclectus,18
41,Rose-ringed parakeet,76
26,Budgerigar,60
33,Rose-ringed parakeet,68
20,Eclectus,22
20,Eclectus,20
28,Rose-ringed parakeet,56
46,Budgerigar,81
37,Rose-ringed parakeet,47
8,Eclectus,12
54,Rose-ringed parakeet,73
56,Rose-ringed parakeet,84
60,Budgerigar,80
31,Eclectus,52
32,Rose-ringed parakeet,70
55,Budgerigar,87
55,Rose-ringed parakeet,64
6,Budgerigar,16
30,Eclectus,58
6,Eclectus,12
38,Budgerigar,42
7,Rose-ringed parakeet,15
6,Rose-ringed parakeet,18
48,Budgerigar,72
48,Eclectus,78
60,Budgerigar,73
17,Eclectus,40
3,Rose-ringed parakeet,16
60,Budgerigar,82
53,Budgerigar,87
41,Budgerigar,68
10,Rose-ringed parakeet,3
8,Eclectus,4
13,Rose-ringed parakeet,29
25,Rose-ringed parakeet,44
25,Budgerigar,20
44,Rose-ringed parakeet,53
2,Budgerigar,12
17,Rose-ringed parakeet,24
45,Eclectus,59
45,Rose-ringed parakeet,66
2,Eclectus,18
44,Budgerigar,62
9,Rose-ringed parakeet,14
15,Eclectus,25
54,Budgerigar,79
23,Eclectus,20
59,Eclectus,96
7,Eclectus,1
8,Eclectus,6
25,Rose-ringed parakeet,39
50,Eclectus,72
45,Eclectus,79
34,Eclectus,70
44,Eclectus,61
14,Budgerigar,18
6,Rose-ringed parakeet,16
59,Rose-ringed parakeet,72
42,Budgerigar,51
19,Budgerigar,13
23,Budgerigar,40
37,Rose-ringed parakeet,45
40,Budgerigar,66
50,Rose-ringed parakeet,88
6,Budgerigar,12
39,Rose-ringed parakeet,51
38,Eclectus,60
60,Eclectus,73
30,Budgerigar,42
13,Eclectus,30
1,Rose-ringed parakeet,5
4,Eclectus,7
34,Rose-ringed parakeet,63
6,Budgerigar,7
54,Budgerigar,63
38,Eclectus,54
22,Budgerigar,46
55,Rose-ringed parakeet,61
58,Rose-ringed parakeet,87
10,Budgerigar,14
59,Eclectus,96
16,Eclectus,13
39,Eclectus,55
38,Budgerigar,40
5,Rose-ringed parakeet,20
35,Rose-ringed parakeet,66
14,Budgerigar,11
55,Budgerigar,69
40,Rose-ringed parakeet,42
38,Budgerigar,65
50,Budgerigar,84
2,Eclectus,13
18,Budgerigar,16
17,Budgerigar,28
36,Budgerigar,62
44,Rose-ringed parakeet,53
59,Eclectus,75
39,Budgerigar,40
48,Eclectus,66
29,Budgerigar,44
36,Eclectus,58
4,Rose-ringed parakeet,18
44,Eclectus,76
1,Rose-ringed parakeet,16
56,Eclectus,72
45,Rose-ringed parakeet,52
11,Budgerigar,13
50,Budgerigar,61
31,Eclectus,42
13,Budgerigar,24
21,Eclectus,36
52,Eclectus,74
57,Rose-ringed parakeet,75
60,Eclectus,78
28,Eclectus,54
52,Rose-ringed parakeet,64
11,Rose-ringed parakeet,12
51,Rose-ringed parakeet,78
46,Budgerigar,69
36,Budgerigar,60
38,Budgerigar,44
22,Rose-ringed parakeet,49
23,Eclectus,34
19,Rose-ringed parakeet,27
36,Budgerigar,66
48,Budgerigar,76
23,Eclectus,20
28,Budgerigar,39
39,Rose-ringed parakeet,53
45,Eclectus,66
32,Budgerigar,47
4,Eclectus,15
10,Rose-ringed parakeet,4
58,Rose-ringed parakeet,87
16,Eclectus,32
49,Budgerigar,79
12,Budgerigar,21
31,Budgerigar,57
35,Budgerigar,40
46,Rose-ringed parakeet,90
57,Budgerigar,95
33,Budgerigar,47
4,Eclectus,1
53,Rose-ringed parakeet,70
57,Eclectus,80
4,Eclectus,2
13,Budgerigar,18
24,Budgerigar,44
53,Eclectus,72
51,Eclectus,88
32,Eclectus,42
34,Rose-ringed parakeet,58
51,Budgerigar,60
23,Rose-ringed parakeet,48
35,Budgerigar,54
36,Budgerigar,53
2,Rose-ringed parakeet,20
35,Eclectus,49
7,Eclectus,17
53,Rose-ringed parakeet,74
